Empfaenger;Empfaenger_Strasse;Empfaenger_PLZ;Empfaenger_Ort;Paletten;VP;Liefertermin;LieferzeitVon;LieferzeitBis;Abholtermin;Inhalt;Packzettelnummer;Gewicht;Lieferschein;Telefon;EMail;Bemerkung;Transportart;Lieferhinweis;Avisieren;Absender;Absender_Strasse;Absender_PLZ;Absender_Ort;Entladehilfe;Bestellnummer
Karl Staudt GmbH & Co. KG;Marie-Curie-Straße 9;64823;Groß-Umstadt;1;FP;;;;29.05.2024;Beach Pebbles, 16-32;229856;1075.00;130839;0 60 78  /  9 38 86  -  0;;Ware darf abgestellt werden;31;;0;GSH Naturstein Großhandel;Mittelesch 4;49849;Wilsum;0;41146
Karl Staudt GmbH & Co. KG;Marie-Curie-Straße 9;64823;Groß-Umstadt;1;FP;;;;29.05.2024;Kristall Blau SS, 30-60;229853;1075.00;130839;0 60 78  /  9 38 86  -  0;;Ware darf abgestellt werden;31;;0;GSH Naturstein Großhandel;Mittelesch 4;49849;Wilsum;0;41146
Karl Staudt GmbH & Co. KG;Marie-Curie-Straße 9;64823;Groß-Umstadt;2;FP;;;;29.05.2024;Taunuskies, 8-16;229854;2150.00;130839;0 60 78  /  9 38 86  -  0;;Ware darf abgestellt werden;31;;0;GSH Naturstein Großhandel;Mittelesch 4;49849;Wilsum;0;41146
Karl Staudt GmbH & Co. KG;Marie-Curie-Straße 9;64823;Groß-Umstadt;2;FP;;;;29.05.2024;Taunuskies, 8-16;229855;2150.00;130839;0 60 78  /  9 38 86  -  0;;Ware darf abgestellt werden;31;;0;GSH Naturstein Großhandel;Mittelesch 4;49849;Wilsum;0;41146
Karl Staudt GmbH & Co. KG;Marie-Curie-Straße 9;64823;Groß-Umstadt;1;FP;;;;29.05.2024;Basalt, 8-16;229857;1075.00;130839;0 60 78  /  9 38 86  -  0;;Ware darf abgestellt werden;31;;0;GSH Naturstein Großhandel;Mittelesch 4;49849;Wilsum;0;41146
Karl Staudt GmbH & Co. KG;Marie-Curie-Straße 9;64823;Groß-Umstadt;1;FP;29.05.2024;0700;1800;29.05.2024;Jura Splitt, 16-32;229365;1075.00;130839;0 60 78  /  9 38 86  -  0;;Ware darf abgestellt werden;31;Geschlossen am 30.5;0;GSH Naturstein Großhandel;Mittelesch 4;49849;Wilsum;0;41099
Karl Staudt GmbH & Co. KG;Marie-Curie-Straße 9;64823;Groß-Umstadt;1;FP;29.05.2024;0700;1800;29.05.2024;Nero Quarzit, 8-16;229364;1075.00;130839;0 60 78  /  9 38 86  -  0;;Ware darf abgestellt werden;31;Geschlossen am 30.5;0;GSH Naturstein Großhandel;Mittelesch 4;49849;Wilsum;0;41099
Karl Staudt GmbH & Co. KG;Marie-Curie-Straße 9;64823;Groß-Umstadt;1;FP;29.05.2024;0700;1800;29.05.2024;Nero Quarzit, 16-32;229363;1075.00;130839;0 60 78  /  9 38 86  -  0;;Ware darf abgestellt werden;31;Geschlossen am 30.5;0;GSH Naturstein Großhandel;Mittelesch 4;49849;Wilsum;0;41099
Karl Staudt GmbH & Co. KG;Marie-Curie-Straße 9;64823;Groß-Umstadt;1;FP;29.05.2024;0700;1800;29.05.2024;Nero Quarzit SS, 32-56;229426;1075.00;130839;0 60 78  /  9 38 86  -  0;;Ware darf abgestellt werden;31;Geschlossen am 30.5;0;GSH Naturstein Großhandel;Mittelesch 4;49849;Wilsum;0;41099
Karl Staudt GmbH & Co. KG;Marie-Curie-Straße 9;64823;Groß-Umstadt;1;FP;29.05.2024;0700;1800;29.05.2024;Donaukies, 8-16;229362;1075.00;130839;0 60 78  /  9 38 86  -  0;;Ware darf abgestellt werden;31;Geschlossen am 30.5;0;GSH Naturstein Großhandel;Mittelesch 4;49849;Wilsum;0;41099
Karl Staudt GmbH & Co. KG;Marie-Curie-Straße 9;64823;Groß-Umstadt;1;FP;29.05.2024;0700;1800;29.05.2024;Donaukies, 16-32;229361;1075.00;130839;0 60 78  /  9 38 86  -  0;;Ware darf abgestellt werden;31;Geschlossen am 30.5;0;GSH Naturstein Großhandel;Mittelesch 4;49849;Wilsum;0;41099
Karl Staudt GmbH & Co. KG;Marie-Curie-Straße 9;64823;Groß-Umstadt;1;FP;29.05.2024;0700;1800;29.05.2024;Donaukies, 30-60;229333;1075.00;130839;0 60 78  /  9 38 86  -  0;;Ware darf abgestellt werden;31;Geschlossen am 30.5;0;GSH Naturstein Großhandel;Mittelesch 4;49849;Wilsum;0;41099
Karl Staudt GmbH & Co. KG;Marie-Curie-Straße 9;64823;Groß-Umstadt;2;FP;29.05.2024;0700;1800;29.05.2024;Taunuskies, 8-16;229359;2150.00;130839;0 60 78  /  9 38 86  -  0;;Ware darf abgestellt werden;31;Geschlossen am 30.5;0;GSH Naturstein Großhandel;Mittelesch 4;49849;Wilsum;0;41099
Karl Staudt GmbH & Co. KG;Marie-Curie-Straße 9;64823;Groß-Umstadt;2;FP;29.05.2024;0700;1800;29.05.2024;Taunuskies, 8-16;229360;2150.00;130839;0 60 78  /  9 38 86  -  0;;Ware darf abgestellt werden;31;Geschlossen am 30.5;0;GSH Naturstein Großhandel;Mittelesch 4;49849;Wilsum;0;41099
